seqname	dsDNAphage	NCLDV	RNA	ssDNA	lavidaviridae
547af2d8-3370-4bfc-bb00-ac32ce108d63	0.580	0.553	0.590	0.433	0.047
2b492e4a-301e-4d22-801c-268d3d176eb0	0.980	0.707	0.350	0.973	0.700
dac65078-5d05-4392-99e9-af59282ad3ba	0.393	0.973	0.175	0.573	0.980
56823394-f47b-4a5d-95be-3839ba4496f4	0.720	0.900	0.325	0.580	0.867
f2e4883c-6cc0-4753-821f-2647f59806bf	0.533	0.247	0.870	0.360	0.107
8f981771-1f66-40aa-a2ab-5b180f6b125d	0.713	0.580	0.265	0.947	0.687
a359ef34-7ac1-44e1-962b-d50066c9a374	0.940	0.420	0.155	1.000	0.167
740c73d4-8a40-432e-a5dc-fbf762e06f2d	0.613	0.340	0.225	0.780	0.800
8f79395c-ce81-46c8-bd9b-a5ff9e4b53ba	0.400	0.120	0.685	0.460	0.340
ec04b4de-f948-4d02-8e47-ca790ad2d5a3	0.580	0.787	0.175	0.760	0.300
73d6eb33-a4cd-4c96-9388-0944a662a0e4	0.913	0.673	0.105	0.687	0.493
938a362c-cd99-4a77-bdc1-4818f7e158f1	0.607	0.660	0.285	0.787	0.707
75ac6dc8-0d67-4e73-a655-02e12a1c35c8	0.953	0.867	0.340	0.907	0.960
cadc4a74-bcae-42b4-a205-4bac9c509f3c	0.987	0.700	0.210	0.780	0.740
dbfab1cf-fcd8-4b95-af5b-032c4bfdcc8d	0.280	0.387	0.305	0.233	0.887
26c6e5db-573a-4a7a-9900-1e3beb469777	0.887	0.327	0.440	0.993	0.767
0c50c675-99fe-4114-b1f4-5dd253184dc8	0.793	0.847	0.140	0.980	0.833
c2c77632-b636-47c6-9f07-5f9bd1f2e205	0.880	0.960	0.210	0.973	0.753
c4043526-d7dd-430e-9ef2-7c5e92135518	0.040	0.060	0.485	0.020	0.060
eebaed73-d959-49de-914f-023a0d9a7ec9	0.153	0.920	0.385	0.460	0.100
5621588c-9209-4591-b2e9-820f2bfa052f	0.753	0.620	0.855	0.980	0.887
a7716c7c-bbca-443e-94e8-fb9bfa5bb1b4	0.967	0.827	0.305	0.927	0.560
f40cfd6a-b5c7-410d-94da-5cd87e342747	0.993	0.900	0.185	0.967	0.727
bf8cb844-d5ed-4c02-ba41-6fb51aa8f53c	0.753	0.880	0.515	0.820	0.567
1b2d1709-0f0d-450a-900d-3e56ee5d8e7a	0.973	0.633	0.315	0.200	0.900
89969ee3-8bc4-480e-910a-6da164315189	0.387	0.560	0.410	0.993	0.947
e2dfe6fe-cee3-482b-a7c4-0861b9c70733	0.853	0.740	0.270	0.887	0.460
09caed1b-3c71-4e6e-a175-8a6511ef5b50	0.973	0.420	0.560	0.980	0.680
8936b67c-86e9-40d1-9393-5eb3add38595	0.967	0.747	0.135	0.933	0.753
4e8241e9-01dd-4c55-83c2-31fbb5d0a8ce	0.453	0.607	0.460	0.233	0.913
63c65804-da32-41d8-8709-d4215bbf0755	0.907	0.420	0.265	0.907	0.680
6bbf87fa-f1ac-42fb-8a9f-53783d5fbeca	0.440	0.793	0.220	0.887	0.953
80223cf4-ea51-47b8-84ed-5135275f6d54	0.293	0.840	0.520	0.893	0.900
d8e26bf6-c251-40f7-bc37-9b89a2008c45	0.993	0.373	0.095	0.567	0.487
bee28fc1-641e-4d33-97c1-8bdd5e72a1fc	0.833	0.813	0.260	0.953	0.920
8c51ae61-b904-478d-aa13-cd538ddfbf84	0.887	0.247	0.930	1.000	0.940
464d30cc-4a5f-4720-a5bd-ae454f31666c	0.293	0.173	0.355	0.373	0.880
cec8ba04-aa6f-4730-9932-eaaf85be7e8f	0.580	0.467	0.430	0.940	0.953
2f6389d1-59ce-4c1b-aa91-941ace06ef91	0.980	0.653	0.190	0.887	0.760
c00ebd37-aa3f-42f0-950e-5953327cc9eb	0.960	0.707	0.150	1.000	0.747
d782d139-b2b7-4b5b-aeb1-a6f05e9d37a0	0.967	0.747	0.230	0.987	0.893
f8693e01-270f-4bc4-b284-5bf3c3f3f729	0.620	0.900	0.160	0.820	0.973
8f6ef9e6-7440-4144-85a2-a5808834862a	0.927	0.407	0.090	0.320	0.513
d711190a-283b-4ff0-be93-1f7ff26da277	0.980	0.747	0.145	0.633	0.533
b8c12389-f60a-4e20-8c3e-d6b392026a25	0.840	0.413	0.220	0.987	0.447
a0875db8-8bd5-49ac-864e-3c69f5142a66	0.973	0.680	0.130	0.960	0.127
